date,Thực tế,Mô hình tham chiếu (Naive) - Dự báo,Mô hình tham chiếu (Naive) - Sai số,Mô hình tham chiếu (Naive) - Sai số tuyệt đối,Tham chiếu mùa vụ 7 ngày - Dự báo,Tham chiếu mùa vụ 7 ngày - Sai số,Tham chiếu mùa vụ 7 ngày - Sai số tuyệt đối,ARIMA - Dự báo,ARIMA - Sai số,ARIMA - Sai số tuyệt đối,Random Forest - Dự báo,Random Forest - Sai số,Random Forest - Sai số tuyệt đối
2025-05-02,63.7917,47.1068,-16.6849,16.6849,38.625,-25.1667,25.1667,53.3959,-10.3957,10.3957,45.4204,-18.3713,18.3713
2025-05-03,51.6108,63.7917,12.1808,12.1808,51.9863,0.3754,0.3754,66.4488,14.8379,14.8379,58.9952,7.3844,7.3844
2025-05-04,43.5137,51.6108,8.0971,8.0971,48.875,5.3613,5.3613,52.3122,8.7984,8.7984,44.6301,1.1163,1.1163
2025-05-05,47.7358,43.5137,-4.2221,4.2221,41.2362,-6.4996,6.4996,48.5471,0.8113,0.8113,44.0354,-3.7004,3.7004
2025-05-06,45.1113,47.7358,2.6246,2.6246,94.0279,48.9167,48.9167,52.4004,7.2891,7.2891,47.063,1.9517,1.9517
2025-05-07,38.9862,45.1113,6.125,6.125,57.1388,18.1525,18.1525,48.6382,9.6519,9.6519,42.5137,3.5274,3.5274
2025-05-08,50.1804,38.9862,-11.1942,11.1942,47.1068,-3.0736,3.0736,43.9547,-6.2257,6.2257,37.3224,-12.858,12.858
2025-05-09,50.5417,50.1804,-0.3612,0.3612,63.7917,13.25,13.25,54.2578,3.7161,3.7161,45.5989,-4.9427,4.9427
2025-05-10,69.5,50.5417,-18.9583,18.9583,51.6108,-17.8892,17.8892,52.112,-17.388,17.388,46.3098,-23.1902,23.1902
2025-05-11,26.3196,69.5,43.1804,43.1804,43.5137,17.1942,17.1942,69.2607,42.9411,42.9411,54.8024,28.4828,28.4828
2025-05-12,67.3746,26.3196,-41.055,41.055,47.7358,-19.6387,19.6387,28.9161,-38.4585,38.4585,34.591,-32.7836,32.7836
2025-05-13,68.6804,67.3746,-1.3058,1.3058,45.1113,-23.5692,23.5692,72.4897,3.8093,3.8093,66.4891,-2.1913,2.1913
2025-05-14,47.7083,68.6804,20.9721,20.9721,38.9862,-8.7221,8.7221,63.7676,16.0593,16.0593,64.6889,16.9806,16.9806
2025-05-15,42.9721,47.7083,4.7363,4.7363,50.1804,7.2083,7.2083,48.7763,5.8042,5.8042,42.316,-0.6561,0.6561
2025-05-16,42.3888,42.9721,0.5833,0.5833,50.5417,8.1529,8.1529,48.0664,5.6776,5.6776,41.2252,-1.1636,1.1636
2025-05-17,35.75,42.3888,6.6388,6.6388,69.5,33.75,33.75,46.5308,10.7808,10.7808,40.0297,4.2797,4.2797
2025-05-18,39.2083,35.75,-3.4583,3.4583,26.3196,-12.8888,12.8888,40.3974,1.1891,1.1891,35.5269,-3.6814,3.6814
2025-05-19,46.7083,39.2083,-7.5,7.5,67.3746,20.6662,20.6662,44.1958,-2.5126,2.5126,38.777,-7.9313,7.9313
2025-05-20,55.2917,46.7083,-8.5833,8.5833,68.6804,13.3887,13.3887,49.4106,-5.881,5.881,41.2469,-14.0447,14.0447
2025-05-21,41.8608,55.2917,13.4308,13.4308,47.7083,5.8475,5.8475,55.7696,13.9088,13.9088,46.6409,4.7801,4.7801
2025-05-22,37.2221,41.8608,4.6387,4.6387,42.9721,5.75,5.75,43.4109,6.1888,6.1888,36.7234,-0.4987,0.4987
